Diptera,Drosophilidae,Drosophila americana,[40366](https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=40366 "NCBI Taxonomy DB Record"),NA,[10917](https://www.ncbi.nlm.nih.gov/genome/?term=10917 "NCBI Genome DB Record")
Diptera,Culicidae,Anopheles atroparvus,[41427](https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=41427 "NCBI Taxonomy DB Record"),NA,[11555](https://www.ncbi.nlm.nih.gov/genome/?term=11555 "NCBI Genome DB Record"),[VectorBase](https://www.vectorbase.org/ "VectorBase"); [InsectBase](http://www.insect-genome.com/ "InsectBase")
Diptera,Drosophilidae,Drosophila bipectinata,[42026](https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=42026 "NCBI Taxonomy DB Record"),NA,[3489](https://www.ncbi.nlm.nih.gov/genome/?term=3489 "NCBI Genome DB Record"),[i5k Workspace](https://i5k.nal.usda.gov/ "i5k Workspace"); [InsectBase](http://www.insect-genome.com/ "InsectBase")
Diptera,Culicidae,Anopheles christyi,[43041](https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=43041 "NCBI Taxonomy DB Record"),NA,[11547](https://www.ncbi.nlm.nih.gov/genome/?term=11547 "NCBI Genome DB Record"),[VectorBase](https://www.vectorbase.org/ "VectorBase"); [InsectBase](http://www.insect-genome.com/ "InsectBase")
Diptera,Culicidae,Anopheles darlingi,[43151](https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=43151 "NCBI Taxonomy DB Record"),American malaria mosquito,[2624](https://www.ncbi.nlm.nih.gov/genome/?term=2624 "NCBI Genome DB Record"),[VectorBase](https://www.vectorbase.org/ "VectorBase"); [InsectBase](http://www.insect-genome.com/ "InsectBase")
Lepidoptera,Papilionidae,Papilio glaucus,[45779](https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=45779 "NCBI Taxonomy DB Record"),eastern tiger swallowtail; tiger swallowtail,[36240](https://www.ncbi.nlm.nih.gov/genome/?term=36240 "NCBI Genome DB Record"),[Lepbase](http://lepbase.org/ "Lepbase"); [InsectBase](http://www.insect-genome.com/ "InsectBase")
Diptera,Tephritidae,Bactrocera dorsalis,[27457](https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=27457 "NCBI Taxonomy DB Record"),oriental fruit fly,[10754](https://www.ncbi.nlm.nih.gov/genome/?term=10754 "NCBI Genome DB Record"),[i5k Workspace](https://i5k.nal.usda.gov/ "i5k Workspace"); [InsectBase](http://www.insect-genome.com/ "InsectBase")
NA,Entomobryidae,Orchesella cincta,[48709](https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=48709 "NCBI Taxonomy DB Record"),NA,[13208](https://www.ncbi.nlm.nih.gov/genome/?term=13208 "NCBI Genome DB Record")
Coleoptera,Cupedidae,Priacma serrata,[50550](https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=50550 "NCBI Taxonomy DB Record"),NA,[11831](https://www.ncbi.nlm.nih.gov/genome/?term=11831 "NCBI Genome DB Record")
Lepidoptera,Plutellidae,Plutella xylostella,[51655](https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=51655 "NCBI Taxonomy DB Record"),diamondback moth; cabbage moth,[11570](https://www.ncbi.nlm.nih.gov/genome/?term=11570 "NCBI Genome DB Record"),[Lepbase](http://lepbase.org/ "Lepbase"); [DBM-DB](http://www.iae.fafu.edu.cn/DBM/index.php "DBM-DB"); [Diamondback moth genome database](http://dbm.dna.affrc.go.jp/px/ "Diamondback moth genome database"); [InsectBase](http://www.insect-genome.com/ "InsectBase")
